A,E,H,F,B,G,C
M,1168.0,0.3295,554.0,0.61,239.0,475.0
F,1.2525,0.33,585.0,615.0,0.2595,0.48
F,1.3315,388.0,594.0,0.62,276.0,0.51
F,1.3525,365.0,0.6235,625.0,278.0,0.48
M,1.3325,405.0,0.5705,625.0,271.0,0.49
F,1.1435,349.0,0.4755,625.0,0.2475,475.0
F,1288.0,315.0,573.0,625.0,0.3035,0.5
F,1.38,401.0,0.5845,625.0,302.0,485.0
M,1278.0,0.31,637.0,0.63,275.0,485.0
F,1.3075,315.0,599.0,0.63,284.0,495.0
M,1.1785,0.3235,0.5185,0.63,248.0,0.48
M,1375.0,395.0,623.0,635.0,0.2705,0.49
M,1.4065,0.3745,684.0,635.0,0.3,525.0
M,1.4025,335.0,705.0,0.64,0.2655,505.0
F,1.5175,409.0,693.0,0.64,326.0,0.5
F,1394.0,0.4,0.4935,0.64,291.0,0.5
F,1.2205,0.3185,0.6145,645.0,236.0,0.5
M,1636.0,432.0,779.0,645.0,342.0,0.52
M,1561.0,0.4,709.0,645.0,0.3555,0.52
F,1.4325,336.0,684.0,645.0,308.0,505.0
M,1.3385,349.0,633.0,645.0,299.0,0.5
F,1.2465,0.3,0.5475,645.0,327.0,0.5
F,1212.0,385.0,515.0,645.0,0.2055,515.0
M,1304.0,0.3725,0.57,0.65,312.0,495.0
M,1.6785,0.46,0.6665,0.65,308.0,0.52
M,1622.0,477.0,0.6645,0.65,0.3225,525.0
F,1494.0,0.1825,0.6895,655.0,331.0,0.46
F,1.6525,403.0,0.8515,655.0,0.3365,0.51
F,1528.0,441.0,0.69,0.66,0.3025,505.0
M,1.5905,0.5175,0.6425,0.66,297.0,535.0
M,1.6275,485.0,594.0,0.66,0.3595,495.0
F,1.3695,335.0,641.0,0.66,294.0,475.0
M,1.6085,0.4005,682.0,0.67,0.3145,525.0
F,1587.0,435.0,739.0,675.0,0.2995,0.57
F,1.8375,553.0,0.7645,675.0,0.3615,565.0
M,1607.0,498.0,0.7245,0.68,0.3215,535.0
M,1.7005,405.0,0.8255,0.69,362.0,525.0
M,1872.0,0.48,893.0,0.69,0.4015,505.0
F,1.8385,503.0,0.8035,695.0,396.0,535.0
F,1685.0,0.4045,693.0,705.0,0.42,535.0
M,2198.0,0.5475,1012.0,0.71,0.5225,565.0
M,1.9525,0.4135,0.7645,715.0,0.4185,565.0
F,1.56,405.0,0.6655,715.0,383.0,525.0
F,2555.0,0.6,1.1335,735.0,0.44,0.6
M,2302.0,0.6205,1007.0,765.0,509.0,0.6
I,29.0,0.0095,12.0,185.0,0.0075,0.13
I,0.0375,11.0,18.0,195.0,6.0,0.15
I,0.0325,0.0095,0.0135,195.0,5.0,135.0
I,0.0435,7.0,0.0155,0.2,9.0,155.0
I,59.0,15.0,27.0,225.0,0.0125,165.0
I,71.0,0.0215,0.03,245.0,13.0,0.18
I,0.0685,0.0225,0.0245,0.25,0.0155,0.18
I,84.0,25.0,0.0365,265.0,0.0175,195.0
I,106.0,28.0,54.0,275.0,0.02,195.0
I,0.1075,34.0,0.0415,0.28,24.0,0.21
I,96.0,0.03,0.0405,285.0,0.0205,0.22
I,0.1255,39.0,55.0,0.3,0.0265,0.22
I,151.0,39.0,65.0,315.0,27.0,235.0
I,0.1415,0.0405,0.0675,0.32,0.0295,225.0
I,0.2015,55.0,0.09,0.34,0.0475,265.0
I,221.0,0.0635,0.1165,0.37,0.0265,0.28
I,0.2345,67.0,0.1125,375.0,0.0455,0.28
I,0.2325,65.0,0.1165,375.0,42.0,275.0
I,0.2485,65.0,122.0,385.0,0.0495,0.29
I,348.0,87.0,194.0,0.4,53.0,0.32
I,0.32,93.0,172.0,405.0,44.0,0.3
I,282.0,0.0875,0.1255,0.41,57.0,0.3
I,0.3245,106.0,132.0,0.41,72.0,325.0
I,316.0,0.1035,0.1255,0.42,0.07,0.3
I,0.3625,105.0,174.0,0.42,0.0635,0.32
I,279.0,88.0,0.1255,0.42,51.0,0.31
I,0.3685,0.1045,162.0,425.0,0.0865,325.0
M,397.0,0.1035,0.1985,0.43,0.0865,335.0
I,413.0,96.0,0.2055,435.0,96.0,0.33
I,418.0,106.0,222.0,435.0,0.0735,345.0
I,0.3705,0.12,0.1545,0.44,84.0,0.33
I,409.0,117.0,0.1675,445.0,0.1015,345.0
I,434.0,0.13,0.1945,445.0,0.0905,0.34
I,411.0,109.0,0.1985,445.0,0.0935,335.0
I,462.0,0.1315,0.2135,0.45,0.0985,365.0
I,0.4925,0.12,241.0,0.45,0.1075,0.34
I,0.3715,0.0975,0.1865,0.45,0.0785,0.33
I,411.0,98.0,0.1945,0.45,0.1,0.33
I,0.3685,102.0,0.16,0.45,0.0885,0.33
I,0.4155,0.1175,0.18,0.46,98.0,0.35
M,544.0,129.0,0.27,0.47,0.1395,0.36
I,0.4845,142.0,211.0,0.47,0.1075,0.38
I,0.4565,0.13,206.0,475.0,99.0,0.35
I,0.4545,115.0,0.2165,475.0,111.0,0.35
I,0.6245,0.1665,0.3395,0.48,0.1085,0.38
M,0.5225,141.0,235.0,0.49,0.13,465.0
I,0.5495,0.1585,248.0,0.5,112.0,375.0
I,542.0,0.17,215.0,0.5,116.0,375.0
I,519.0,134.0,0.2485,0.5,0.1135,0.38
M,0.5215,131.0,0.2485,0.5,117.0,0.39
F,0.5445,0.1405,246.0,505.0,0.15,0.39
I,0.6795,182.0,0.3465,0.51,0.1395,405.0
F,545.0,0.1385,261.0,0.51,115.0,0.4
I,0.5575,0.1525,0.2615,0.51,0.1195,0.4
I,0.5155,166.0,215.0,0.51,0.1135,0.38
I,0.6115,0.15,0.3175,515.0,0.1265,385.0
M,0.7765,185.0,0.3525,0.52,0.1845,0.4
I,0.5395,157.0,0.2295,0.52,133.0,0.38
I,0.5545,167.0,288.0,0.52,0.1295,0.38
F,1019.0,254.0,523.0,0.52,0.1985,0.46
I,0.6455,0.17,325.0,525.0,0.1245,0.4
I,601.0,0.1835,0.2625,525.0,0.1285,0.4
M,0.7555,201.0,0.3755,525.0,0.1555,405.0
I,608.0,0.1405,297.0,525.0,0.1395,395.0
I,617.0,0.19,279.0,0.53,127.0,0.4
I,599.0,169.0,0.2595,535.0,149.0,0.39
I,0.6665,0.1895,0.3125,0.54,138.0,0.42
M,0.7835,156.0,0.4225,545.0,0.1815,0.39
M,793.0,0.19,434.0,545.0,0.1405,0.41
M,0.82,218.0,0.4615,545.0,127.0,415.0
F,0.8145,175.0,427.0,0.55,0.1855,415.0
F,0.84,223.0,395.0,0.55,195.0,0.43
M,0.8315,0.2165,411.0,0.55,0.1765,425.0
M,0.8995,234.0,464.0,0.56,0.1775,0.43
M,0.8965,0.2215,0.42,0.56,0.2175,445.0
F,0.6405,245.0,336.0,0.56,0.1765,0.44
M,852.0,205.0,0.43,0.56,0.1885,415.0
M,0.9595,0.23,0.4565,565.0,0.2395,455.0
M,0.99,206.0,0.5795,565.0,0.1825,435.0
F,1.0095,0.2645,447.0,565.0,0.2375,0.45
M,1.0375,0.25,0.5415,0.57,0.2035,0.46
F,0.8775,0.22,412.0,0.57,217.0,445.0
I,755.0,224.0,0.3425,0.57,0.16,0.44
F,0.9945,265.0,466.0,575.0,229.0,0.46
F,1068.0,0.2575,556.0,575.0,214.0,0.45
M,0.8455,222.0,401.0,575.0,191.0,435.0
F,869.0,238.0,435.0,575.0,197.0,0.47
M,907.0,0.26,0.4245,575.0,197.0,455.0
I,805.0,245.0,0.3155,575.0,0.2155,435.0
M,1.0225,228.0,549.0,575.0,0.2175,445.0
M,847.0,0.22,415.0,575.0,0.1945,445.0
M,1114.0,265.0,0.4765,0.58,0.2155,455.0
M,1859.0,441.0,945.0,0.58,426.0,455.0
M,814.0,0.22,0.3775,0.58,0.1915,445.0
M,0.9615,253.0,486.0,0.58,0.1815,0.45
M,1.0025,0.2295,547.0,0.58,0.1975,0.45
F,0.93,265.0,385.0,0.58,246.0,0.45
M,0.9335,235.0,478.0,585.0,0.1825,0.46
M,0.9555,265.0,0.4595,585.0,236.0,465.0
M,0.9955,0.24,481.0,0.59,232.0,0.47
F,1.0265,0.2565,485.0,0.6,0.2495,475.0
M,1.1915,0.24,696.0,0.6,0.2395,455.0
F,1.1025,0.25,0.5455,0.6,262.0,465.0
M,1.0165,225.0,512.0,0.6,0.2465,465.0
F,1.1775,292.0,611.0,605.0,0.2275,0.47
M,1.1175,274.0,555.0,605.0,257.0,475.0
M,1.1835,317.0,582.0,605.0,0.2365,0.48
F,1056.0,357.0,433.0,605.0,0.2195,475.0
M,1.0145,0.2415,0.5315,0.61,212.0,485.0
M,1.3305,0.2865,783.0,0.61,0.2255,485.0
M,1052.0,267.0,498.0,0.61,242.0,0.47
M,1.0565,0.27,0.4815,615.0,272.0,0.46
F,923.0,0.2415,0.4615,615.0,0.1825,465.0
F,1027.0,285.0,447.0,615.0,0.25,475.0
M,1.0195,0.2475,0.5315,0.62,0.2005,0.47
M,858.0,0.2405,0.4285,0.62,0.1525,0.45
F,1.1125,281.0,0.5635,0.62,0.2445,0.48
F,1.3745,332.0,0.7335,625.0,0.2715,485.0
M,1.2065,286.0,587.0,625.0,0.29,0.48
M,1.1325,287.0,589.0,0.63,211.0,0.47
M,1.2645,0.3425,0.5635,0.63,0.3065,0.5
F,1.1565,0.2885,0.5115,635.0,308.0,495.0
M,1369.0,358.0,632.0,0.64,0.3415,515.0
M,1.39,0.3735,0.6465,645.0,0.2945,0.53
F,1.1345,305.0,528.0,645.0,254.0,0.48
F,1464.0,0.4245,0.6415,0.65,339.0,0.5
M,1202.0,294.0,565.0,0.65,0.3135,0.5
M,1.31,345.0,553.0,655.0,369.0,515.0
F,1415.0,364.0,0.5885,655.0,0.3725,0.51
F,1346.0,476.0,546.0,0.66,0.2705,0.53
M,1363.0,0.34,629.0,665.0,279.0,525.0
I,1.2975,0.3595,0.6035,665.0,291.0,0.5
F,1.3645,353.0,0.6075,0.67,0.3025,505.0
F,1.7025,0.4735,664.0,685.0,0.3655,0.54
M,1519.0,0.4,699.0,685.0,0.3685,0.52
F,1454.0,0.39,624.0,0.69,0.3105,0.54
M,1583.0,0.3865,0.7355,0.69,405.0,0.53
F,1.5535,0.3695,0.7945,0.69,0.3485,0.53
M,1.74,0.4375,885.0,695.0,0.3715,0.56
M,1751.0,446.0,895.0,0.7,0.3355,565.0
M,2273.0,638.0,1095.0,0.7,418.0,575.0
F,1.6465,0.3995,0.8545,0.7,307.0,525.0
F,1219.0,301.0,0.6395,705.0,236.0,0.55
F,1652.0,0.4525,735.0,0.71,381.0,0.56
M,2.0045,0.5075,1.0465,715.0,407.0,0.55
M,1.6755,0.42,889.0,715.0,313.0,535.0
F,2103.0,0.5375,1.0265,0.72,0.48,0.58
F,1.9965,0.5215,0.9035,0.72,469.0,0.55
M,1187.0,0.2685,691.0,0.72,0.1945,565.0
M,1978.0,0.4505,1026.0,725.0,0.4255,505.0
F,1.8795,0.4825,931.0,0.73,0.38,575.0
M,2124.0,0.5,952.0,735.0,0.55,585.0
M,1931.0,0.5,896.0,745.0,0.4585,565.0
F,2236.0,545.0,1109.0,0.75,0.5195,0.57
F,2505.0,0.6785,1.1965,755.0,513.0,625.0
M,2.0065,595.0,0.8295,755.0,0.4015,0.58
F,2657.0,586.0,1488.0,0.78,0.4985,0.63
I,0.4645,0.15,196.0,185.0,0.1045,375.0
I,0.0765,0.0215,34.0,245.0,14.0,205.0
I,0.0685,0.0225,0.0295,0.25,14.0,185.0
I,0.0835,25.0,39.0,0.25,15.0,0.19
I,0.1125,0.0355,0.0545,275.0,0.0295,195.0
I,0.1075,38.0,44.0,305.0,0.0205,215.0
I,0.1055,0.04,435.0,0.31,15.0,225.0
I,0.1375,0.0445,0.0545,315.0,31.0,0.23
I,0.1145,0.0385,46.0,315.0,0.0235,0.23
I,139.0,0.09,0.0565,325.0,32.0,225.0
I,0.2085,52.0,102.0,0.33,0.0395,0.25
I,0.1595,0.0435,77.0,0.33,32.0,205.0
I,0.2015,48.0,96.0,335.0,0.0405,245.0
I,179.0,55.0,0.0775,0.34,33.0,0.25
I,0.1945,55.0,0.0925,345.0,37.0,255.0
I,0.2005,0.05,105.0,345.0,37.0,255.0
I,215.0,65.0,0.1,0.35,36.0,0.27
I,0.1785,0.0525,0.0855,0.35,0.0305,255.0
I,196.0,64.0,0.0875,0.36,35.0,0.27
I,0.1875,58.0,81.0,365.0,42.0,0.27
I,196.0,0.06,0.0825,365.0,0.0375,0.27
I,213.0,0.06,0.0945,365.0,49.0,265.0
I,0.2445,75.0,89.0,0.37,0.0655,0.29
I,217.0,62.0,0.1095,0.37,35.0,0.28
I,213.0,61.0,96.0,375.0,41.0,0.29
I,0.2385,0.0695,118.0,375.0,45.0,0.29
I,218.0,0.0755,93.0,375.0,0.0405,275.0
I,0.2465,0.0775,0.11,375.0,0.0415,275.0
I,0.2025,65.0,0.0825,375.0,48.0,0.28
I,218.0,0.07,0.0945,375.0,39.0,0.27
I,256.0,0.0755,0.11,0.38,0.0535,275.0
I,0.2105,0.07,0.0865,0.38,42.0,0.27
I,0.2615,0.0745,111.0,385.0,0.0595,0.29
I,0.2175,67.0,97.0,385.0,38.0,0.28
I,302.0,0.0735,152.0,385.0,0.0615,0.3
I,228.0,0.0655,0.1025,385.0,42.0,0.28
I,0.3265,89.0,0.1665,0.39,0.0575,0.3
I,284.0,0.0945,0.1135,395.0,0.0595,305.0
I,0.2725,85.0,115.0,395.0,0.0625,295.0
I,0.2985,82.0,0.1445,395.0,61.0,0.27
I,0.2675,0.0765,0.1205,0.4,0.0605,0.29
I,0.2645,75.0,0.1265,405.0,0.0505,285.0
I,0.33,0.17,157.0,0.41,0.0705,335.0
I,328.0,82.0,168.0,0.42,0.0615,305.0
I,0.3335,0.1,173.0,425.0,45.0,325.0
I,0.3055,106.0,126.0,425.0,0.06,0.32
I,301.0,0.08,0.1385,425.0,65.0,0.31
I,428.0,115.0,0.2065,0.43,86.0,0.34
I,378.0,0.1045,175.0,0.43,0.08,315.0
I,0.3685,0.12,0.1615,435.0,0.0715,315.0
I,438.0,0.12,0.2115,0.44,83.0,0.34
I,448.0,0.12,208.0,0.45,89.0,0.33
I,0.4005,126.0,164.0,455.0,0.0755,345.0
F,0.4305,0.1245,184.0,455.0,108.0,365.0
I,372.0,0.11,358.0,455.0,0.0775,0.33
I,466.0,0.11,0.2225,0.46,99.0,0.36
I,0.3705,114.0,0.1575,0.46,77.0,0.35
F,0.4785,141.0,206.0,0.46,0.1045,365.0
I,346.0,113.0,0.1425,465.0,73.0,0.34
I,411.0,135.0,175.0,0.47,0.0855,365.0
I,0.48,0.1505,0.2055,0.47,105.0,355.0
I,393.0,115.0,167.0,0.47,0.0885,355.0
I,0.5035,0.14,0.2535,475.0,91.0,355.0
I,441.0,0.1505,0.1785,475.0,0.0885,0.38
I,492.0,0.15,211.0,475.0,0.11,0.36
I,0.5435,165.0,244.0,0.48,101.0,0.37
I,0.4725,132.0,0.2065,0.48,112.0,355.0
I,461.0,135.0,0.2205,0.48,0.0835,365.0
I,0.4965,0.1495,214.0,495.0,0.1045,355.0
I,0.5125,0.16,0.2185,495.0,116.0,0.38
M,553.0,167.0,224.0,495.0,0.1375,395.0
I,594.0,0.1565,0.2945,0.5,104.0,0.38
M,0.6765,0.2065,302.0,0.5,0.1415,0.42
I,0.5795,185.0,239.0,0.5,0.1375,375.0
I,0.6615,196.0,0.2585,0.5,0.1625,0.41
I,0.5695,157.0,259.0,0.5,124.0,375.0
I,0.6215,195.0,0.2925,0.5,0.1205,395.0
I,0.6015,0.18,0.3015,505.0,0.11,405.0
I,594.0,0.18,0.2595,505.0,0.1435,0.38
I,551.0,171.0,248.0,505.0,103.0,395.0
I,625.0,0.16,0.3265,515.0,0.1295,0.38
I,711.0,205.0,337.0,515.0,144.0,0.42
I,0.6965,175.0,0.32,515.0,0.1255,0.4
I,0.5825,0.18,233.0,0.52,0.1365,0.4
I,663.0,0.1905,0.3005,0.52,131.0,395.0
I,0.6965,164.0,369.0,525.0,0.1385,0.4
M,842.0,0.2045,428.0,525.0,0.1415,0.42
I,694.0,167.0,0.3905,0.53,111.0,415.0
I,0.81,192.0,0.4725,0.53,111.0,0.42
I,0.5745,189.0,0.2525,0.53,0.1235,415.0
I,0.7675,0.21,419.0,0.53,0.1205,425.0
I,0.6025,154.0,0.2895,535.0,121.0,0.4
I,0.5765,225.0,0.3595,535.0,135.0,415.0
F,0.7145,0.2075,335.0,535.0,144.0,0.41
M,717.0,194.0,0.3475,535.0,0.1445,435.0
F,0.8655,0.2175,0.4315,0.54,163.0,0.42
I,0.7265,229.0,0.3205,0.54,0.1445,0.42
I,0.7715,227.0,372.0,545.0,148.0,435.0
F,0.8,207.0,0.3535,545.0,163.0,445.0
I,0.7285,0.2545,302.0,545.0,0.1315,0.43
I,0.5945,185.0,0.27,545.0,0.1185,405.0
I,0.7895,223.0,0.3745,0.55,171.0,0.43
F,651.0,0.2,0.2965,0.55,137.0,405.0
M,0.8745,248.0,413.0,0.55,0.1905,0.43
I,0.7535,0.2325,0.3285,0.55,0.1555,435.0
I,0.7305,215.0,0.3325,0.55,0.1545,425.0
M,0.8705,255.0,407.0,555.0,156.0,0.44
I,0.7395,0.28,0.3135,555.0,0.1435,0.43
I,0.7665,0.23,341.0,555.0,165.0,0.43
I,0.7905,225.0,0.3485,555.0,0.1765,425.0
I,0.8205,236.0,0.3715,0.56,185.0,425.0
I,688.0,0.2165,0.3095,0.56,0.1305,425.0
F,1224.0,0.2695,0.5565,0.56,0.3225,445.0
I,974.0,235.0,547.0,0.56,0.1615,455.0
I,0.8735,0.21,414.0,565.0,0.21,0.44
F,0.8495,225.0,0.4215,565.0,0.1685,0.45
M,796.0,219.0,0.3635,565.0,184.0,445.0
M,744.0,0.1685,352.0,565.0,0.13,0.39
I,751.0,0.2215,0.2825,0.57,0.2195,0.45
I,794.0,245.0,0.3815,0.57,0.1415,0.45
F,0.9795,0.2655,397.0,0.57,0.2525,0.46
M,873.0,0.2705,382.0,0.57,183.0,435.0
I,0.7665,202.0,347.0,0.57,0.1785,0.44
M,0.8965,275.0,383.0,0.57,0.1835,435.0
F,857.0,0.2125,461.0,575.0,147.0,0.42
F,1078.0,306.0,511.0,575.0,0.2095,0.48
M,892.0,0.22,0.4415,575.0,176.0,0.46
M,1.4395,0.2955,0.6715,0.58,273.0,0.46
M,0.7955,204.0,405.0,0.58,167.0,455.0
F,858.0,253.0,0.4,0.58,156.0,445.0
M,0.9145,235.0,0.4555,585.0,0.1965,465.0
M,1171.0,335.0,522.0,585.0,0.2535,0.49
I,1.0505,285.0,0.48,585.0,234.0,475.0
M,1.1135,274.0,0.5825,585.0,0.2345,0.46
M,1409.0,295.0,0.8,585.0,229.0,0.47
M,1065.0,0.2885,0.5315,585.0,199.0,475.0
M,0.7995,237.0,336.0,585.0,0.1855,0.45
I,0.7715,0.23,328.0,0.59,0.1745,445.0
M,1187.0,0.31,0.5985,0.59,227.0,0.47
M,0.8855,275.0,388.0,0.59,188.0,455.0
F,0.98,0.2255,0.4115,595.0,196.0,465.0
F,1026.0,305.0,0.4645,595.0,112.0,465.0
M,1.1315,309.0,508.0,0.6,272.0,475.0
M,1014.0,325.0,451.0,0.6,0.1885,0.48
I,1.12,0.27,565.0,0.6,0.2465,475.0
F,1.04,0.28,0.4755,0.6,0.25,465.0
F,0.8895,269.0,419.0,0.6,0.1715,455.0
M,0.9595,295.0,0.4455,0.6,189.0,0.46
I,1238.0,0.33,0.6315,605.0,226.0,485.0
M,0.9755,315.0,419.0,605.0,206.0,0.49
I,0.9025,0.26,432.0,605.0,174.0,435.0
F,1076.0,335.0,463.0,605.0,0.2195,475.0
F,1.0835,275.0,0.5405,605.0,0.2215,0.47
M,871.0,0.25,407.0,0.61,0.1835,0.45
M,1244.0,305.0,0.6345,0.61,257.0,0.48
M,1.0265,0.3035,435.0,0.61,0.2335,475.0
I,0.9605,286.0,0.4495,0.61,0.1725,465.0
M,1137.0,347.0,0.4565,0.61,0.29,0.48
M,1.0,275.0,494.0,0.61,197.0,0.46
F,1004.0,0.2895,0.4475,615.0,193.0,475.0
M,1128.0,0.34,0.4465,615.0,0.2195,0.47
M,1054.0,295.0,0.4845,615.0,228.0,0.5
F,1023.0,0.3035,0.4905,615.0,0.1955,475.0
M,1129.0,0.3,0.4795,615.0,302.0,475.0
M,1118.0,0.3,446.0,615.0,0.3195,0.48
F,1115.0,355.0,484.0,615.0,0.2115,475.0
M,1.2815,0.39,0.5715,0.62,0.2385,0.51
M,1.2555,355.0,0.5765,0.62,254.0,495.0
F,1293.0,354.0,596.0,0.62,0.3135,0.5
F,1.1295,0.33,463.0,0.62,0.2685,475.0
M,1082.0,315.0,0.4955,625.0,0.2345,455.0
F,1.15,0.3045,0.5475,625.0,256.0,505.0
F,1264.0,321.0,0.5715,625.0,326.0,515.0
F,1.2035,0.3185,0.5865,625.0,239.0,0.48
F,1.3205,345.0,0.5945,0.63,345.0,485.0
I,1272.0,315.0,0.6025,0.63,295.0,505.0
M,1062.0,0.3365,0.5065,0.63,0.1785,485.0
I,1.0605,0.28,0.5165,0.63,0.2195,475.0
M,1093.0,315.0,497.0,0.63,221.0,495.0
M,1101.0,0.3455,534.0,635.0,0.1865,0.49
F,1.4595,0.39,705.0,635.0,0.2645,0.5
F,1211.0,323.0,707.0,635.0,0.2725,495.0
M,1.1935,0.3665,0.5205,635.0,0.2695,475.0
M,986.0,0.31,405.0,635.0,0.2255,0.51
M,1521.0,406.0,644.0,0.64,372.0,565.0
M,1.3135,0.4075,0.4865,0.64,0.2995,525.0
M,1.1835,345.0,556.0,645.0,0.2385,0.51
M,1401.0,0.3725,0.6165,645.0,0.3515,0.5
M,1.5075,0.4325,0.7455,645.0,245.0,525.0
F,1.16,349.0,0.4785,0.65,274.0,505.0
F,1662.0,435.0,0.77,0.65,378.0,0.59
M,1.5365,405.0,0.6865,0.65,0.3585,525.0
M,1542.0,375.0,0.7155,0.65,0.3735,0.51
F,1567.0,391.0,0.7245,0.65,349.0,0.51
F,1.3595,0.3985,564.0,655.0,0.3215,525.0
M,1.6445,0.46,0.7305,655.0,0.3595,535.0
F,1.4545,383.0,0.6,655.0,0.3865,0.52
M,1.3585,365.0,0.6395,655.0,294.0,0.49
F,1548.0,0.3925,724.0,0.66,0.3525,495.0
F,1337.0,0.3575,615.0,0.66,0.3125,515.0
F,1491.0,435.0,0.6345,665.0,342.0,0.53
F,1.5615,0.3725,0.63,0.67,487.0,0.53
F,1.0145,0.3745,0.4375,0.67,271.0,505.0
M,1.7375,469.0,876.0,675.0,0.3135,545.0
M,1.7925,461.0,0.8145,685.0,416.0,545.0
F,1.7635,0.4975,0.7465,695.0,399.0,565.0
F,1556.0,195.0,0.6725,0.7,374.0,545.0
M,2.21,512.0,1.1075,705.0,0.4865,565.0
M,2141.0,528.0,1.0465,705.0,383.0,555.0
F,1.5345,0.43,0.96,705.0,0.4195,0.57
F,1614.0,0.45,743.0,0.71,345.0,0.55
F,1.9335,0.51,913.0,0.72,389.0,575.0
M,2173.0,0.5365,0.9515,0.72,564.0,575.0
F,1737.0,595.0,697.0,725.0,0.3585,0.6
F,1.7375,0.52,0.6785,0.73,0.4345,0.58
F,2.1275,565.0,949.0,735.0,0.46,565.0
F,2.25,558.0,1.1565,745.0,446.0,0.57
F,2.5085,612.0,1232.0,0.75,519.0,0.61
F,2255.0,0.7975,0.8905,815.0,0.42,0.65
I,14.0,4.0,0.0055,0.14,0.0025,105.0
I,0.0515,36.0,19.0,0.23,0.0145,165.0
I,0.2215,0.0605,105.0,365.0,47.0,265.0
I,0.1985,53.0,0.0785,365.0,0.0345,255.0
I,232.0,0.0615,0.1325,0.37,41.0,0.27
I,0.3155,67.0,187.0,375.0,46.0,0.28
I,247.0,0.0675,0.1225,385.0,44.0,0.3
I,0.3025,0.0765,143.0,395.0,0.0665,295.0
I,329.0,0.0825,188.0,0.4,0.0455,0.29
I,0.2815,0.08,0.1185,0.4,61.0,0.3
I,0.3425,0.0855,0.1785,405.0,64.0,0.31
I,0.2825,0.0815,112.0,405.0,75.0,0.29
I,304.0,0.0805,0.1455,405.0,61.0,0.3
I,0.2905,73.0,141.0,0.41,63.0,0.32
M,0.3895,103.0,0.2015,415.0,65.0,315.0
I,389.0,88.0,0.2015,425.0,0.0905,0.34
I,0.4405,0.1075,0.2385,0.43,0.0745,0.34
I,369.0,0.1015,164.0,0.44,0.08,0.34
M,0.4565,0.1025,0.2435,0.44,92.0,0.32
I,0.4465,0.1135,213.0,0.44,89.0,365.0
M,0.4475,0.11,0.2165,0.45,126.0,335.0
I,501.0,0.1065,274.0,455.0,0.0995,335.0
I,436.0,125.0,0.1975,0.46,96.0,355.0
I,0.4615,116.0,229.0,0.47,0.1105,345.0
I,0.4315,0.1175,0.19,0.47,0.1165,0.35
I,0.3685,0.1365,126.0,0.47,0.0835,355.0
M,649.0,142.0,347.0,475.0,136.0,0.37
I,459.0,0.1165,0.2175,475.0,93.0,365.0
F,566.0,0.1335,281.0,475.0,117.0,365.0
I,542.0,147.0,0.2795,0.48,0.1025,0.36
I,0.4725,147.0,0.2075,485.0,0.1075,0.38
M,0.6435,198.0,0.2945,485.0,103.0,0.39
M,526.0,0.1555,0.2485,485.0,105.0,0.37
F,573.0,144.0,0.2655,495.0,0.1285,0.38
M,0.5525,0.1555,239.0,505.0,0.1245,385.0
F,0.6855,161.0,361.0,505.0,0.1565,0.38
I,556.0,0.17,0.2695,515.0,96.0,395.0
M,0.9365,0.2185,497.0,515.0,181.0,425.0
I,0.5625,0.17,0.25,515.0,0.1245,0.4
M,559.0,149.0,254.0,0.52,139.0,0.4
M,0.7205,0.1735,0.3685,525.0,145.0,0.4
I,0.7045,189.0,346.0,0.53,0.1415,0.43
M,0.7575,175.0,398.0,0.53,151.0,0.4
F,0.7405,203.0,0.3565,545.0,0.1775,0.41
F,0.84,0.1945,375.0,0.55,218.0,0.43
M,793.0,215.0,343.0,0.55,0.2035,425.0
F,0.8745,0.22,453.0,0.56,161.0,0.43
F,0.8715,0.1835,0.4755,0.56,0.1835,435.0
M,0.9875,249.0,504.0,0.57,207.0,445.0
M,1.08,238.0,595.0,575.0,0.2065,465.0
M,0.9155,0.2385,0.4005,575.0,0.2465,0.46
F,1165.0,0.3055,0.65,0.58,0.2205,0.46
F,953.0,0.2095,475.0,0.58,0.2165,435.0
M,906.0,0.2335,0.4095,585.0,0.23,455.0
M,0.8725,245.0,387.0,0.59,215.0,0.44
F,1151.0,0.2515,613.0,0.59,239.0,465.0
F,0.9905,275.0,453.0,0.59,0.2205,0.46
F,1.04,288.0,452.0,595.0,0.2655,455.0
M,945.0,0.25,0.4365,0.6,0.2085,455.0
M,1259.0,357.0,0.6405,0.6,0.1985,465.0
F,0.9515,0.2765,0.4535,605.0,193.0,485.0
F,1201.0,0.38,417.0,605.0,0.2875,485.0
F,1289.0,0.3315,0.6,605.0,0.2945,515.0
F,1.1005,305.0,0.5125,0.61,229.0,485.0
I,0.8425,251.0,353.0,615.0,0.1915,475.0
M,1049.0,0.25,462.0,0.62,231.0,485.0
F,1012.0,275.0,477.0,0.62,236.0,435.0
M,1.0725,312.0,0.4815,0.62,235.0,0.48
M,1.4105,0.3465,691.0,625.0,322.0,0.52
M,1136.0,305.0,451.0,625.0,0.3245,0.47
M,1.1005,276.0,0.52,0.63,0.26,0.47
F,1.1105,329.0,467.0,0.63,268.0,0.5
M,1.1315,305.0,481.0,0.63,0.2745,455.0
M,1271.0,0.31,0.6605,0.63,0.2425,0.48
F,1336.0,0.3245,0.6805,0.63,259.0,0.49
F,1.1345,315.0,505.0,635.0,0.2655,505.0
M,1308.0,377.0,544.0,635.0,318.0,0.51
F,1.5335,0.4025,0.6635,0.64,0.3345,515.0
