A,E,H,F,B,G,D,I
I,0.5225,162.0,0.2265,0.47,104.0,125.0,8
I,456.0,0.16,182.0,475.0,99.0,0.11,9
I,0.44,0.15,177.0,495.0,95.0,0.1,7
I,507.0,0.15,241.0,495.0,103.0,115.0,8
I,0.5285,209.0,226.0,0.5,123.0,135.0,8
I,572.0,165.0,237.0,515.0,0.1435,125.0,7
I,0.6625,196.0,0.2775,0.52,0.1555,0.14,11
I,0.6445,186.0,0.3155,0.52,0.1245,115.0,11
I,0.6275,0.18,0.3015,525.0,126.0,0.11,8
I,0.6885,237.0,273.0,535.0,0.1515,145.0,9
M,0.6835,159.0,0.3125,535.0,0.1655,0.12,8
M,0.6855,0.38,293.0,0.54,163.0,0.19,10
I,0.6755,0.21,0.3015,0.55,0.1465,0.15,10
I,783.0,265.0,0.3045,0.55,157.0,145.0,11
M,894.0,264.0,0.3885,0.56,0.2095,145.0,9
I,768.0,0.2475,0.3305,565.0,0.1385,135.0,9
M,0.95,0.2845,0.4005,0.57,0.2235,145.0,10
F,871.0,0.2315,385.0,0.57,211.0,0.14,10
M,0.9785,276.0,0.4505,575.0,196.0,0.15,9
I,0.7425,0.22,0.2895,575.0,0.2005,0.13,8
M,737.0,237.0,325.0,575.0,0.1405,0.14,10
I,0.9175,0.24,0.45,575.0,0.1935,0.16,9
F,0.8785,0.2425,425.0,0.58,0.1685,155.0,10
M,1.1275,335.0,0.4925,585.0,262.0,175.0,11
M,0.9765,235.0,0.4525,0.59,0.2395,165.0,9
I,974.0,289.0,453.0,0.59,236.0,145.0,8
M,853.0,245.0,326.0,0.59,0.2615,0.15,9
M,991.0,0.5,382.0,595.0,0.2395,175.0,12
M,0.9125,289.0,0.4095,595.0,0.1825,0.14,9
F,921.0,0.2875,0.4005,595.0,0.2025,0.16,9
F,869.0,291.0,0.3425,0.6,195.0,0.14,11
M,0.8665,255.0,0.3695,0.6,0.1955,0.15,12
F,1089.0,384.0,469.0,0.61,198.0,0.16,11
M,0.9615,0.29,422.0,615.0,176.0,215.0,11
M,1145.0,343.0,0.4915,615.0,208.0,0.17,13
I,907.0,0.3075,371.0,0.62,167.0,0.16,11
F,1.1635,355.0,0.4875,625.0,259.0,155.0,11
M,1.1955,0.37,492.0,0.63,247.0,175.0,11
M,1.31,0.4695,495.0,0.63,295.0,0.18,10
F,1251.0,0.3825,577.0,635.0,227.0,165.0,11
F,1145.0,0.3155,0.4775,635.0,0.3035,155.0,9
M,1154.0,387.0,0.4405,635.0,0.2315,0.18,9
F,1.1335,0.3015,0.5525,0.64,0.2505,145.0,11
F,1.2015,0.3355,559.0,0.64,231.0,0.15,9
M,1.5595,395.0,695.0,0.65,0.3515,0.17,11
M,1.3165,364.0,0.6345,0.65,0.2605,175.0,12
M,1403.0,0.42,0.6955,655.0,0.2385,165.0,11
F,1204.0,0.3225,0.5455,655.0,0.2615,0.16,9
F,1.2895,0.3415,587.0,655.0,0.3165,0.17,11
F,1.5175,401.0,0.7765,0.66,302.0,0.18,10
M,1.3575,0.4485,0.5325,665.0,0.3045,155.0,10
M,1.3645,385.0,557.0,675.0,0.3405,145.0,11
F,1494.0,406.0,615.0,0.68,0.3935,185.0,11
F,1664.0,545.0,0.58,0.68,0.3855,195.0,11
M,1545.0,0.4055,686.0,685.0,0.3775,165.0,10
F,1.5855,471.0,667.0,695.0,334.0,0.2,11
F,1666.0,455.0,647.0,0.7,0.4285,0.22,11
M,1724.0,0.4625,566.0,0.71,0.4575,175.0,13
F,1908.0,0.5965,0.5415,0.73,0.3565,205.0,14
F,2073.0,0.48,1.0135,755.0,0.4655,0.2,11
I,0.0515,17.0,19.0,225.0,12.0,0.05,4
I,57.0,16.0,26.0,0.23,13.0,0.05,5
I,0.0925,25.0,39.0,255.0,21.0,0.06,6
I,204.0,0.0595,0.3045,355.0,46.0,75.0,7
I,0.3075,93.0,139.0,425.0,0.0745,95.0,7
I,262.0,0.0725,0.1235,425.0,67.0,85.0,8
M,458.0,0.1305,0.2,455.0,111.0,0.11,8
M,491.0,174.0,207.0,0.46,115.0,0.14,10
M,474.0,0.1545,197.0,495.0,0.1065,0.12,10
M,0.5805,188.0,244.0,0.51,0.1335,125.0,11
F,728.0,235.0,302.0,0.52,0.1575,0.15,11
M,622.0,184.0,0.2655,525.0,147.0,0.13,9
M,706.0,0.1345,0.3355,0.53,0.1635,0.12,9
F,0.5685,161.0,249.0,0.53,0.1375,115.0,9
M,0.9385,345.0,0.3685,545.0,0.1245,145.0,11
F,655.0,221.0,0.2635,0.55,122.0,0.15,8
M,0.9465,0.2505,0.4355,575.0,0.2605,0.15,9
M,0.9115,121.0,446.0,0.58,0.2075,125.0,10
M,942.0,277.0,0.43,595.0,182.0,145.0,11
M,1193.0,0.3055,0.5145,0.6,315.0,0.18,8
M,1461.0,439.0,0.5985,645.0,0.2425,0.18,11
M,1489.0,421.0,0.6065,0.66,0.3795,0.2,10
I,0.1115,32.0,53.0,0.29,0.0185,0.06,5
I,0.1235,0.0315,59.0,0.3,26.0,65.0,5
I,0.2815,68.0,0.1505,0.37,0.0505,0.1,5
I,226.0,0.0725,0.0975,375.0,0.04,0.08,7
I,0.2285,75.0,88.0,0.38,0.0465,85.0,7
I,0.2995,0.0895,0.1265,395.0,68.0,0.12,8
I,361.0,103.0,0.1605,0.41,0.0665,105.0,8
I,0.3045,94.0,0.1215,415.0,0.0735,115.0,7
I,0.3975,0.1175,0.1815,425.0,81.0,105.0,7
I,379.0,101.0,0.1725,0.44,0.0815,0.1,7
I,0.4995,0.1185,0.2965,0.44,0.0945,0.12,6
M,0.7775,0.1455,436.0,465.0,0.1715,135.0,10
F,0.4705,0.1385,0.1635,0.47,89.0,0.1,8
M,751.0,203.0,0.3295,0.51,0.1835,145.0,8
F,714.0,208.0,318.0,525.0,138.0,135.0,10
F,0.6995,223.0,0.3115,525.0,131.0,0.13,9
F,952.0,0.2185,0.4895,0.55,0.1945,0.14,7
M,0.8755,0.2315,0.44,0.56,0.1965,0.15,8
M,0.9215,0.2365,354.0,575.0,209.0,135.0,9
F,0.8285,236.0,362.0,575.0,0.1655,135.0,10
M,1206.0,323.0,581.0,585.0,216.0,0.15,10
M,1.2865,0.3245,435.0,615.0,293.0,155.0,11
F,1.1945,352.0,0.5105,0.62,271.0,155.0,9
F,1.1655,0.1625,536.0,0.63,0.2115,0.19,10
F,1.2155,0.3105,0.4625,0.63,0.2045,0.17,10
M,1.1735,316.0,526.0,0.67,285.0,165.0,11
M,1532.0,0.3815,0.74,675.0,357.0,0.16,11
F,1.5105,0.3725,0.7385,685.0,0.3525,0.17,10
F,0.5565,185.0,0.2215,485.0,0.1155,0.1,9
M,547.0,0.19,0.2165,0.46,0.1105,125.0,8
M,0.5165,185.0,0.1885,0.46,0.1145,125.0,9
M,764.0,265.0,312.0,535.0,0.1505,125.0,11
M,488.0,0.19,188.0,465.0,0.0845,105.0,10
M,0.6905,0.23,259.0,0.51,151.0,0.14,10
I,0.1835,65.0,78.0,335.0,24.0,0.09,11
M,0.97,0.48,0.2885,0.55,139.0,0.16,20
I,33.0,0.01,0.0145,0.18,7.0,0.08,5
I,59.0,0.0185,0.0265,215.0,0.0125,55.0,5
I,46.0,0.0065,21.0,0.2,7.0,0.04,4
F,1.3235,355.0,0.6075,625.0,0.3055,0.2,9
M,0.8465,245.0,336.0,0.55,0.2405,0.17,13
M,1047.0,315.0,0.4315,585.0,276.0,0.15,14
F,1.2785,345.0,0.5345,645.0,0.2995,0.18,13
F,1.8745,0.6855,0.6755,0.71,0.4065,195.0,12
F,1978.0,0.71,0.6675,0.7,0.3125,215.0,24
F,1367.0,396.0,0.5835,655.0,0.3515,165.0,10
F,1742.0,725.0,595.0,665.0,0.3025,175.0,21
F,513.0,0.13,232.0,0.47,142.0,105.0,11
M,0.4085,135.0,0.1755,425.0,92.0,0.1,9
M,0.56,175.0,0.2375,0.54,0.1065,0.13,7
M,635.0,175.0,0.29,505.0,0.1555,125.0,9
M,875.0,0.3,279.0,535.0,0.18,165.0,10
F,397.0,0.12,0.1575,0.43,89.0,0.09,9
M,806.0,215.0,0.3415,0.55,203.0,0.11,9
F,204.0,0.05,97.0,0.34,21.0,85.0,6
I,0.1165,35.0,0.0565,275.0,13.0,65.0,7
F,0.17,0.05,76.0,335.0,0.0365,0.07,6
M,1194.0,375.0,0.4445,0.64,238.0,0.14,15
F,765.0,245.0,0.33,0.55,0.2125,125.0,9
F,1151.0,0.3805,0.4365,0.64,281.0,0.19,13
F,0.6765,0.22,0.29,545.0,158.0,115.0,9
F,1571.0,475.0,627.0,0.64,271.0,175.0,18
M,1153.0,295.0,503.0,605.0,0.2505,155.0,15
M,1114.0,0.31,0.3925,605.0,291.0,115.0,15
M,0.9125,0.35,0.3595,0.56,271.0,155.0,10
F,872.0,285.0,0.3245,0.57,239.0,155.0,14
M,792.0,0.28,316.0,525.0,0.1455,0.16,13
F,606.0,0.18,239.0,505.0,0.1235,0.18,11
M,0.2265,65.0,0.0995,0.35,0.0575,0.09,6
M,0.3955,145.0,147.0,0.45,0.0765,0.12,9
I,0.61,235.0,229.0,0.51,131.0,0.12,11
F,539.0,165.0,229.0,0.49,0.1355,0.13,12
F,657.0,195.0,291.0,505.0,133.0,135.0,15
M,0.2505,0.0775,106.0,0.38,0.0535,0.1,8
I,102.0,34.0,45.0,0.27,0.0135,0.07,8
F,0.2685,0.0835,0.1165,0.37,56.0,0.1,7
M,551.0,206.0,0.2245,0.5,0.0715,135.0,11
M,1307.0,0.52,0.4335,645.0,262.0,165.0,10
M,0.9185,0.29,404.0,565.0,0.1785,115.0,11
F,1707.0,575.0,0.6995,0.67,387.0,175.0,13
F,0.8805,235.0,0.3645,0.59,234.0,0.15,11
F,0.4965,0.13,237.0,0.47,127.0,0.11,6
F,632.0,0.17,282.0,0.51,145.0,135.0,8
M,2.2695,665.0,0.8835,0.72,0.3985,0.23,16
M,0.9235,0.24,412.0,0.55,0.2135,0.15,7
I,0.0345,0.01,11.0,0.2,0.0075,25.0,5
M,1.3315,405.0,0.5665,0.65,347.0,0.18,13
F,0.72,0.2,0.3105,525.0,0.1915,115.0,14
M,1032.0,0.31,354.0,565.0,0.2045,185.0,20
F,1017.0,0.32,426.0,0.61,0.2255,0.16,12
F,0.98,0.38,0.2585,545.0,207.0,175.0,18
I,0.1495,45.0,0.0605,325.0,33.0,75.0,5
I,0.1515,0.05,56.0,0.31,0.0315,75.0,7
M,478.0,0.16,0.1865,0.45,115.0,0.14,11
F,578.0,0.18,0.2395,0.49,0.1255,155.0,9
F,0.6835,215.0,271.0,505.0,145.0,0.16,10
F,0.2725,0.08,0.1115,385.0,57.0,0.1,6
F,1511.0,0.51,0.5095,0.62,284.0,0.22,17
F,1.3035,0.41,501.0,635.0,295.0,185.0,17
F,1.3955,0.49,456.0,665.0,0.3205,185.0,15
M,0.1975,0.07,0.0795,335.0,0.0375,95.0,9
I,116.0,0.04,37.0,295.0,0.0295,75.0,8
I,523.0,175.0,0.2105,0.48,0.1045,125.0,15
I,0.1565,0.06,57.0,0.32,34.0,0.08,9
I,384.0,146.0,0.1375,0.43,61.0,125.0,14
M,1.0055,265.0,0.3785,565.0,244.0,0.14,12
F,1.1345,335.0,0.4535,0.6,0.27,165.0,10
F,1.0835,325.0,0.3745,585.0,326.0,0.17,14
F,868.0,0.21,0.33,555.0,243.0,0.14,13
F,1.0915,315.0,452.0,0.57,275.0,0.16,14
F,1271.0,0.37,531.0,0.62,0.3075,175.0,11
M,1.4985,545.0,0.4125,0.63,0.3075,0.19,16
M,388.0,125.0,149.0,425.0,87.0,0.12,10
F,1.2355,365.0,0.4435,0.64,0.3105,0.19,14
M,1402.0,465.0,483.0,675.0,0.3205,175.0,16
M,0.6025,0.21,216.0,0.5,138.0,145.0,11
M,0.2775,0.1,109.0,385.0,0.0515,0.09,9
M,973.0,355.0,0.2985,0.52,0.2135,195.0,18
M,753.0,255.0,258.0,0.52,171.0,175.0,8
M,1.3765,0.47,0.44,0.64,0.3075,0.2,16
I,375.0,115.0,0.1425,0.44,0.0965,0.12,9
F,0.4135,119.0,0.1645,0.42,106.0,0.13,10
F,0.56,145.0,231.0,0.45,137.0,135.0,13
I,0.3915,115.0,0.1575,0.42,0.1025,125.0,9
F,1.2765,0.4,0.4835,0.64,328.0,0.19,12
M,0.96,275.0,387.0,0.57,0.2385,0.15,11
M,0.3745,125.0,158.0,0.41,81.0,0.12,12
M,696.0,265.0,0.2405,485.0,0.1625,0.15,13
F,1.2955,365.0,0.5215,0.61,0.3225,0.19,12
F,1.2315,0.42,0.4525,0.59,238.0,205.0,13
M,1383.0,485.0,596.0,665.0,0.2565,155.0,14
I,0.2225,75.0,0.0865,345.0,58.0,0.1,8
M,1156.0,315.0,428.0,635.0,289.0,155.0,18
M,1477.0,0.43,0.6375,695.0,0.3025,0.15,14
F,1.5715,0.47,0.6935,0.69,318.0,185.0,15
M,858.0,0.29,377.0,555.0,0.1585,135.0,15
M,1.4995,395.0,0.6265,0.65,0.4005,0.19,14
M,1467.0,0.42,0.5825,635.0,303.0,0.19,15
F,1092.0,0.37,396.0,655.0,0.2825,0.16,14
F,1.8165,515.0,0.7785,0.69,0.4395,205.0,19
F,1.6365,0.44,694.0,695.0,0.3005,0.16,13
M,906.0,295.0,342.0,0.55,219.0,0.16,13
F,1213.0,365.0,464.0,0.61,306.0,0.19,15
M,1.06,275.0,402.0,595.0,0.28,165.0,11
M,161.0,0.05,0.0725,0.3,39.0,0.09,6
F,459.0,145.0,197.0,435.0,0.1145,125.0,9
I,533.0,185.0,233.0,455.0,106.0,125.0,8
M,0.6175,175.0,0.3,0.48,142.0,0.13,12
I,366.0,0.11,0.1705,0.43,0.0855,105.0,6
F,0.4195,0.13,194.0,435.0,0.1005,105.0,7
I,0.15,45.0,0.0605,0.3,42.0,75.0,5
F,0.8745,0.29,375.0,575.0,193.0,0.15,12
M,655.0,185.0,0.3185,505.0,0.15,0.11,9
M,484.0,165.0,0.2155,455.0,102.0,125.0,7
M,1.4435,0.39,0.6145,0.64,0.3035,165.0,18
F,0.8775,0.29,0.3345,0.56,0.2145,125.0,13
F,1.3105,0.37,0.58,645.0,288.0,0.19,12
F,1.2515,0.33,0.5035,595.0,0.2925,145.0,14
M,0.9085,0.29,398.0,565.0,197.0,115.0,17
F,1.1705,285.0,0.5405,655.0,0.3175,0.14,12
M,528.0,0.16,0.2,0.48,0.1395,135.0,14
F,0.6625,185.0,0.3005,495.0,0.1635,135.0,11
F,0.4335,0.12,0.2105,0.4,0.1205,115.0,10
M,0.3595,115.0,0.1415,0.41,0.0885,125.0,11
F,1107.0,0.31,402.0,595.0,0.2415,145.0,12
F,0.8595,0.24,0.3195,625.0,0.1775,0.13,13
M,0.7735,255.0,297.0,0.52,123.0,155.0,17
M,0.4365,145.0,169.0,465.0,0.1075,125.0,11
F,501.0,175.0,192.0,475.0,0.1175,0.14,13
F,0.6735,0.25,265.0,0.5,124.0,0.14,18
M,415.0,0.13,215.0,0.46,82.0,0.11,12
M,0.4775,0.17,0.2,485.0,0.0785,125.0,12
F,0.5555,215.0,213.0,465.0,0.1075,0.14,15
M,0.6445,0.22,0.26,525.0,0.1575,0.16,12
F,1428.0,565.0,493.0,655.0,318.0,0.19,18
M,1.6195,555.0,533.0,0.69,353.0,185.0,24
M,0.81,0.22,317.0,0.55,157.0,0.17,11
F,1.0385,305.0,414.0,0.58,0.26,165.0,13
F,0.9715,0.28,371.0,0.59,235.0,155.0,11
M,868.0,0.26,348.0,565.0,217.0,155.0,11
F,1522.0,405.0,0.6965,665.0,0.3025,185.0,13
F,1.1255,315.0,0.4985,0.62,227.0,175.0,14
M,0.7085,205.0,305.0,0.55,0.1455,0.13,12
F,1.0185,0.27,0.4695,605.0,225.0,145.0,15
M,0.72,225.0,275.0,535.0,164.0,0.16,15
F,0.6175,193.0,262.0,0.51,122.0,0.12,12
M,738.0,193.0,0.2845,0.53,0.17,0.13,9
F,597.0,178.0,0.2615,495.0,135.0,0.15,11
M,1156.0,295.0,0.5525,575.0,243.0,185.0,13
F,1.22,345.0,0.4905,0.63,0.3,0.16,14
M,0.7485,0.22,0.3345,0.59,0.1315,0.12,14
F,1.0735,0.33,437.0,605.0,205.0,165.0,14
M,1229.0,395.0,524.0,645.0,278.0,0.19,17
F,1146.0,0.39,477.0,0.62,0.23,175.0,13
M,1145.0,405.0,0.4325,605.0,0.27,175.0,16
F,1.1055,0.39,0.4445,615.0,227.0,205.0,16
F,1.67,0.49,0.6525,0.66,0.4875,0.19,11
F,1555.0,0.52,0.6465,0.71,0.3705,175.0,15
F,0.9285,265.0,302.0,565.0,0.1805,185.0,12
F,0.8085,0.22,0.3235,0.57,183.0,0.14,16
I,1057.0,355.0,383.0,0.6,216.0,175.0,16
I,0.2595,0.08,97.0,0.41,0.0515,115.0,10
F,438.0,0.11,0.1805,0.45,0.1165,135.0,9
M,99.0,0.03,37.0,275.0,24.0,0.08,5
I,0.5085,135.0,0.21,485.0,122.0,0.12,9
F,1166.0,355.0,483.0,0.62,238.0,165.0,13
F,507.0,155.0,0.1915,0.48,0.1365,135.0,12
F,0.6345,215.0,243.0,505.0,0.1335,0.15,17
M,314.0,0.1,138.0,0.4,57.0,0.11,11
I,0.4385,0.1125,184.0,0.45,108.0,115.0,11
M,195.0,0.0655,0.0745,0.35,41.0,0.09,9
M,451.0,184.0,171.0,0.44,0.0705,0.14,16
M,84.0,0.03,34.0,265.0,0.0105,65.0,7
M,0.0245,8.0,0.0095,165.0,0.0045,0.04,4
F,1.4685,0.52,0.4715,705.0,0.3235,0.2,19
F,0.7765,0.25,302.0,535.0,0.1565,155.0,16
I,0.5425,175.0,198.0,0.49,127.0,0.14,11
F,0.5885,0.1595,0.2475,0.48,0.1505,0.13,15
F,0.3375,98.0,0.1435,395.0,0.0755,105.0,12
I,0.2565,0.0725,0.1165,375.0,0.0585,0.1,12
M,163.0,0.0485,0.0615,345.0,37.0,0.09,10
I,0.8095,0.28,0.2985,0.55,0.2015,135.0,12
I,1.3655,425.0,0.6255,635.0,0.2595,0.2,16
I,967.0,275.0,0.3775,575.0,284.0,0.17,13
F,0.6855,225.0,0.2905,545.0,145.0,0.15,10
F,314.0,0.08,146.0,385.0,0.0555,125.0,10
F,0.7005,0.2,312.0,0.51,165.0,0.18,11
I,0.4895,0.2,0.1735,0.44,0.0875,125.0,13
I,0.45,145.0,191.0,0.45,0.0865,125.0,12
I,259.0,85.0,0.0955,0.39,38.0,105.0,8
F,382.0,0.14,0.1465,425.0,79.0,135.0,12
F,0.4435,145.0,185.0,0.45,0.09,125.0,11
I,1.6935,0.42,0.6025,0.66,0.4005,0.18,15
F,1.71,0.58,0.5415,685.0,309.0,175.0,16
F,0.8575,275.0,0.3465,585.0,0.1785,185.0,12
I,0.97,264.0,0.4285,0.54,0.22,145.0,17
F,0.59,0.1845,215.0,0.49,125.0,135.0,12
M,0.34,112.0,0.1315,0.43,85.0,95.0,14
F,385.0,0.1345,166.0,455.0,46.0,0.11,13
I,515.0,212.0,175.0,495.0,98.0,145.0,13
F,0.59,0.23,232.0,0.48,141.0,145.0,12
I,0.51,198.0,0.1615,0.47,73.0,0.16,14
M,0.3005,104.0,0.1215,415.0,0.0575,0.1,11
I,683.0,165.0,0.3265,0.49,0.1615,115.0,13
I,468.0,0.17,0.1665,0.47,108.0,105.0,10
I,0.4075,0.18,0.1365,445.0,0.0645,0.13,11
F,584.0,185.0,224.0,0.51,0.1355,0.13,13
F,829.0,205.0,0.3535,0.52,0.1685,145.0,15
I,0.4545,158.0,171.0,475.0,118.0,0.14,8
F,0.4385,125.0,206.0,455.0,98.0,0.11,10
I,407.0,0.13,0.1685,435.0,73.0,0.11,10
I,0.3085,85.0,0.1385,0.39,0.0735,0.1,6
I,239.0,0.07,105.0,375.0,0.0555,0.1,8
M,106.0,35.0,0.0415,285.0,23.0,75.0,5
I,1178.0,315.0,0.3935,0.58,0.2165,0.17,20
F,1073.0,335.0,0.4005,0.58,0.2345,175.0,19
M,306.0,0.09,121.0,0.41,0.0735,95.0,9
M,301.0,0.09,124.0,0.41,69.0,0.1,9
I,0.7585,0.19,307.0,0.54,0.2075,0.15,10
M,171.0,55.0,0.0655,0.33,0.0365,85.0,11
I,0.3625,0.12,134.0,0.44,82.0,115.0,11
M,0.0905,0.03,35.0,0.28,0.02,65.0,5
I,1.0885,375.0,0.3685,0.59,187.0,195.0,17
I,1097.0,335.0,0.4215,0.61,264.0,165.0,13
I,1278.0,0.37,0.41,0.61,257.0,0.17,17
M,0.44,135.0,169.0,455.0,0.1065,125.0,12
M,163.0,55.0,0.0615,0.33,34.0,0.09,10
I,522.0,195.0,0.17,0.44,0.0905,135.0,16
M,0.9715,0.29,0.3225,0.54,194.0,155.0,19
F,588.0,155.0,237.0,475.0,0.1715,125.0,10
F,0.5325,125.0,0.2085,0.46,0.1805,0.15,10
I,127.0,0.04,48.0,0.31,31.0,0.09,6
I,0.0815,31.0,28.0,255.0,16.0,0.07,5
M,0.1635,57.0,0.0615,335.0,0.0345,75.0,8
I,0.1,31.0,38.0,295.0,26.0,0.08,8
I,0.0265,9.0,9.0,0.19,5.0,45.0,5
M,0.9955,325.0,0.3245,545.0,0.2665,165.0,19
M,0.6605,0.19,0.2605,495.0,161.0,0.12,15
M,721.0,0.22,0.3055,0.5,0.1725,0.13,14
F,0.1485,45.0,0.0585,305.0,0.0335,0.07,7
F,487.0,125.0,194.0,475.0,0.1455,115.0,13
M,955.0,0.26,341.0,515.0,0.2535,125.0,13
M,873.0,0.31,0.3035,545.0,196.0,145.0,18
M,1.65,335.0,734.0,0.74,0.4505,185.0,13
M,1.1285,0.33,377.0,565.0,0.3525,0.15,16
M,1.1115,0.26,0.5035,0.56,0.2785,0.16,10
M,0.9745,305.0,353.0,545.0,174.0,125.0,13
M,1.4605,0.41,0.5835,645.0,0.3155,185.0,19
M,1.0105,0.32,368.0,575.0,222.0,0.13,10
M,1.0765,0.3,412.0,0.62,253.0,0.16,13
F,1.2225,385.0,357.0,605.0,202.0,165.0,13
M,1616.0,0.34,0.5495,605.0,332.0,0.16,18
F,559.0,0.1945,0.1955,475.0,0.1215,0.15,12
M,0.2205,0.07,0.0855,365.0,0.0515,85.0,9
F,0.44,0.13,0.19,0.46,0.1025,115.0,8
M,879.0,0.25,0.28,0.53,0.2165,135.0,10
M,0.6815,0.2495,0.2145,0.48,0.1405,0.15,18
M,0.5795,215.0,0.1685,455.0,125.0,0.15,13
I,209.0,75.0,66.0,0.35,59.0,0.11,9
M,224.0,75.0,0.0815,0.37,0.0575,105.0,8
I,0.1765,0.05,0.0785,0.34,0.0405,75.0,7
I,196.0,64.0,82.0,0.35,0.04,75.0,8
I,192.0,53.0,81.0,0.35,0.0465,0.08,6
I,0.3095,0.09,147.0,0.39,0.05,0.09,7
I,313.0,93.0,131.0,395.0,72.0,95.0,7
I,0.3595,0.0915,167.0,415.0,83.0,105.0,6
I,0.3855,0.1,192.0,0.43,0.0745,0.1,7
I,0.5785,184.0,0.25,0.48,106.0,115.0,8
M,674.0,185.0,0.3325,0.49,0.1235,0.12,9
F,0.5265,148.0,249.0,0.49,0.1005,105.0,7
F,1.0315,337.0,432.0,0.56,0.2025,0.16,9
M,0.9,218.0,472.0,0.56,182.0,0.14,7
M,1.0165,265.0,491.0,0.58,221.0,0.15,9
F,1.2495,371.0,0.4945,0.58,0.27,0.18,8
M,1.1685,0.28,539.0,0.59,279.0,135.0,8
F,1148.0,0.37,444.0,595.0,214.0,165.0,10
M,1089.0,292.0,0.5195,0.6,223.0,0.15,11
M,1.0325,0.2785,497.0,0.61,0.2175,155.0,9
F,1172.0,316.0,536.0,0.63,254.0,0.15,11
M,1.3715,409.0,567.0,0.64,307.0,0.17,10
F,1.5055,0.43,0.6565,0.65,341.0,185.0,10
M,1.9045,0.5,882.0,0.71,0.44,0.2,13
M,2.4925,0.5235,1.1455,0.74,575.0,0.2,13
I,0.0805,0.0215,0.0345,0.25,0.0185,65.0,4
I,111.0,0.03,0.0425,0.28,0.0285,65.0,6
I,152.0,45.0,65.0,325.0,0.0305,75.0,6
I,199.0,0.06,73.0,0.35,49.0,95.0,5
I,219.0,65.0,97.0,0.36,0.0405,0.09,6
I,0.2155,63.0,0.0915,365.0,0.0475,105.0,6
I,0.2565,0.0645,0.1255,0.37,0.0645,0.09,6
I,257.0,75.0,0.1045,375.0,62.0,0.09,7
I,0.2505,75.0,0.0945,0.38,0.0655,95.0,6
I,279.0,75.0,134.0,395.0,49.0,0.09,8
I,378.0,0.09,188.0,0.43,0.0785,105.0,6
I,456.0,131.0,0.21,0.44,0.0955,125.0,8
I,0.5055,0.14,234.0,465.0,0.11,0.1,7
F,0.4705,126.0,0.1955,465.0,118.0,115.0,7
M,643.0,135.0,349.0,0.48,0.1155,0.13,8
I,513.0,0.13,219.0,485.0,0.1075,0.1,7
F,569.0,145.0,256.0,0.49,0.1325,115.0,9
I,578.0,0.1645,0.2545,495.0,0.1305,145.0,8
I,596.0,151.0,0.3015,0.5,104.0,0.11,8
F,0.5725,146.0,0.2555,505.0,0.1325,0.12,8
M,0.6435,161.0,0.2885,0.52,157.0,0.12,7
M,0.8115,0.2,0.4035,0.52,166.0,125.0,7
F,0.7115,0.1915,0.3205,525.0,159.0,125.0,7
M,0.9155,0.25,0.3645,0.55,195.0,155.0,8
F,0.8815,0.2155,0.43,555.0,0.1975,145.0,8
F,931.0,225.0,0.4445,555.0,171.0,0.11,8
F,1065.0,0.2815,0.4985,575.0,0.2145,165.0,8
M,1.1385,0.31,502.0,0.6,0.2295,155.0,9
F,1234.0,315.0,598.0,0.61,238.0,0.16,12
F,1.2635,0.3455,0.53,0.61,315.0,175.0,10
F,1.0745,0.29,0.4925,0.61,236.0,0.16,8
M,1403.0,365.0,0.6715,615.0,0.2925,0.19,8
M,1.1325,0.2825,0.5235,0.62,0.2505,165.0,9
F,1.1115,345.0,0.4495,625.0,0.2825,0.16,11
F,1255.0,405.0,525.0,625.0,0.2415,0.17,10
M,1437.0,475.0,0.5855,625.0,293.0,0.17,11
M,1.3635,295.0,583.0,635.0,0.2985,155.0,10
F,1.1435,353.0,0.4915,0.64,0.2345,195.0,9
M,1.4545,354.0,642.0,0.64,0.3575,0.17,9
M,1478.0,372.0,0.5815,0.66,381.0,0.18,10
F,1.6885,0.4265,0.7295,665.0,407.0,165.0,11
F,2.0725,565.0,0.8655,715.0,0.4095,0.23,10
M,1787.0,529.0,718.0,0.72,385.0,0.2,11
F,1523.0,0.4375,0.8045,725.0,0.3595,185.0,9
I,21.0,14.0,0.0075,165.0,0.0045,0.05,3
I,0.0455,13.0,0.02,0.21,0.0065,55.0,4
I,0.2435,0.06,122.0,355.0,0.0525,85.0,6
I,0.2675,0.0765,116.0,0.4,0.0585,85.0,6
I,258.0,0.0815,104.0,0.4,59.0,0.1,7
I,0.2985,75.0,0.1375,0.4,71.0,0.11,6
I,411.0,0.1,0.2025,435.0,0.0945,0.11,7
I,0.38,0.09,197.0,0.44,79.0,0.11,7
I,0.4385,0.12,0.21,0.45,0.0925,105.0,8
I,0.4015,109.0,242.0,465.0,0.0345,105.0,6
I,0.4485,123.0,156.0,0.47,102.0,145.0,7
I,0.4155,139.0,167.0,0.47,84.0,115.0,7
I,0.7095,0.1845,0.35,475.0,0.1505,0.16,8
I,637.0,128.0,0.38,485.0,0.1335,115.0,7
F,1.1155,0.3065,509.0,505.0,239.0,0.16,8
I,599.0,0.1485,0.3065,0.51,0.1155,0.13,8
I,0.5345,0.1535,0.2375,0.52,122.0,0.13,8
F,627.0,183.0,0.2905,0.53,0.1165,0.14,8
M,0.7465,0.2185,348.0,535.0,0.1515,0.16,10
M,985.0,0.27,0.4645,0.55,201.0,0.16,8
